word,translation
sediments, رسوبات
monsoon, باران موسومی
abrupt, ناگهانی
envisage, پیش بینی
tropical, گرمسیری
indigenous, بومی
absurd, پوچ | تهی
evaporation, تبخیر
appealing, جذاب
appalling, وحشتناک
reprieve, مهلت
lounge, سالن استراحت
consulting, مشاوره
bark, پوست درخت | کندن پوست درخت
trunk, تنه درخت
rudder, سکان کشتی
steer, هدایت وسیله نقلیه مثل کشتی
gale, طوفان
inquiry, پروسه به پرسش کشیدن
virtues, فضایل | خواص
lucid, شفاف | واضح
reductive, توضیح بشکل ساده
rubber, لاستیکی
marble, مرمری | سنگ مرمر
bay, خلیج کوچک
lagoon, مرداب
gallant, شجاع
repercussion, عواقب |‌انعکاس
underpin, پی ریزی کردن | زیربنا ساختن
devise, تدبیر
publicising, عمومی کردن
initiatives, ابتکارات
initiative, ابتکار عمل
unanimously, به اتفاق آرا
conspicuous, قابل توجه
sturdy, محکم
pivotal, محوری
decisive, تعیین کننده
patent, ثبت اختراع
possess, در اختبار داشتن
foster, ساختن
obstacles, موانع
dichotomy, دوگانگی
adequate, کافی | مناسب
predisposition, استعداد
excursion, گشت و گذار
circulation, تیراژ | جریان خون
crept, حالت گذشته creep
canoe, قایق رانی
occidental, غربی | مربوط به آمریکا و اروپا
squander, اسراف کردن
contemporary, معاصر
lament, زجه | زجه زدن | ناله کردن
ward, بخش | نگهبان
contend, مبارزه کردن | ادعا کردن
cholera, وبا
devoid, خالی
culmination, اوج گیری | به نقطه اوج رسیدن
harbour, بندر | لنگرگاه
promenade, تفرجگاه
pass, بلیط | پرس
consensus, اجماع | توافق عام
to clamour, با صدای بلند نق زدن
rivalry, رقابت | چشم رو همچشمی
permaturaly, به طور دائم
lime, آهک | لیموترش
secrete, ترشح کردن 
proliferate, تکثیر شدن | کثیر شدن
fragrars, عطر ها 
foliage, شاخ و برگ
oval, بیضی شکل
husk, غلاف | پوسته | بی سبوس کردن
lacy, توری
exclusive, انحصاری
smuggle, قاچاق کردن
hurdles, موانع
intrinsic, ذاتی
nomadic, عشایری
peculiar, عجیب و غریب 
enquiring, پرس و جو کردن
stunt, شیرین کاری | از رشد جا مانده
carpentry, نجاری
district, ناحیه
irrigation, آبیاری
livestock, دام | چهارپایان اهلی
improvised, بداهه | بداهه ساختن
intimate, صمیمی
dug, گذشته dig
posts, posts | تیردکل و امثالهم
quantitative, مقداری عددی | بیان شده بر حسب حساب
choreographers, طراحان رقص
awnings, سایبان
staggered, مبهوت
choreography, رقص | رقص آرایی
cognitive, شناختی
cognition, شناخت
flock, گله
premise, مقدمه
carnivore, گوشتخوار
niche, طاقچه
debilitating, ناتوان کننده
strands, رشته ها
stranded, سردرگم
stagnant, راکد
relieve, تخفیف دادن | تسلی دادن
aqueduts, قنات ها
accompaying, مشارکت
warehouse, انبار
commute, رفت و آمد
patronised, طوری رفتار کردن که طرف مقابل احمقه | مشتری ثابت فروشگاهی بودن
editorial, مقاله | سرمقاله
pumice, سنگ پا
tint, مقدار کمی رنگ | کمی رنگ کردن
complied, رعایت کردن | اجابت کردن | موافقت کردن
reclining, لم دادن | دراز کشیدن
depiction, تصویر سازی
emerging, درحال ظهور
mertis, شاستگی و لیاقت | سزاوار بودن
notorious, رسوا | بدنام
inclination, شیب
distort, تخریب
sketches, طرح ها
desalination, نمک زدایی
scarcity, کمیابی | کمبود
lease, اجاره | اجاره دادن | اجاره نامه
municipal, وابسته به شهرداری
venture, جسارت | سرمایه گذاری | ریسک
envisioned, متصور شدن
humanitarian, بشردوست | بشردوستانه
cautionary, هشدار دهنده
disguise, تغییر قیافه دادن | لباس مبدل
gruesome, وحشتناک | مخوف
perennial, چند ساله | همیشگی | دائمی
trivial, ناچیز | جزیی | بیهوده
arid, خشک
erosion, فرسایش
pods, پوسته محافظ | غلاف ها
botanist, گیاه شناسی
prejudices, تعصبات | پیش داوری
reinstate, بازگرداندن | دوباره گماشتن
terrain, زمین | نوع زمین | ناحیه
ambiguity, ابهام | گنگی
circumstances, شرایط | موقیعت
quotas, سهمیه ها
liable, مسئول
breach, نقض | نقض عهد |‌رخنه
fiduciary, امانتی | امانتداری
plummeted, سقوط کرد | سرنگون کردن
exerted, بکاربرد | اعمال کرد
possessions, دارایی ها
textile, نساجی
canals, کانال ها
assortment, مجموعه ایی | دسته ایی
insulating, عایق | عایق کردن | روپوش دار کردن
straw, نی | پوشال | حصیر
entrepreneur, کار آفرین
tissue, بافت
remodelled, بازسازی شده است 
maternity, زایمان
dens, لانه ها | غار | خلوتگاه
cubs, توله ها
cub, توله | توله زیادن
depleting, تهی شدن | خالی کردن
reformation, اصلاحات
bedridden, بستری | علیل
anecdotal, حکایتی | حدیثی
dislodge, جا به جا کردن
piles, توده ها | کپه ها
owing, مدیون
deceased, مرحوم | متوفی
piling, ستون بندی
incorporated, جا دادن | گنجاندن | یکی کردن
accomplishment, اجرا | دستاورد ها
vessels, ظرف ها | کشتی ها
inscribed, نوشته شده
excavated, حفاری شده | کاویدن
predecessors, پیشینیان
